,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.000990118,0.0,9.803336539240002e-07,0.0,-0.000387166,0.0,1.4989751155599998e-07,0.0,0.101004,0.0,0.0,0.010201808016,-0.00130119,0.0,1.6930954161e-06,0.0,-0.000106919,0.0,0.0,1.1431672561e-08,-0.00130166,0.0,1.6943187556000004e-06,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.000480549,0.000509569,2.3092734140100002e-07,2.596605657610001e-07,-0.00542996,-0.005042794,2.94844656016e-05,2.5429771326436e-05,0.110436,0.0094319999999999,8.896262399999993e-05,0.012196110096,-0.00137414,-7.295000000000001e-05,1.8882607396e-06,5.321702500000002e-09,-0.000320381,-0.000213462,4.5566025444e-08,1.02643985161e-07,-0.0014297,-0.00012804,2.0440420900000003e-06,1.6394241600000015e-08,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.0087536799999999,0.0092342289999999,7.662691354239998e-05,8.527098522444097e-05,0.0227505,0.02818046,0.00051758525025,0.0007941383258116,0.131323,0.020887,0.000436266769,0.0172457303289999,-0.00117699,0.00019715,1.3853054601e-06,3.886812250000004e-08,-0.000255264,6.511700000000001e-05,4.240223689e-09,6.515970969600001e-08,-0.0014979,-6.820000000000002e-05,2.2437044100000003e-06,4.6512400000000035e-09,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0063853,-0.0023683799999999,4.077205609e-05,5.609223824399992e-06,0.0199327,-0.0028177999999999,0.00039731252929,7.939996839999993e-06,0.100529,-0.030794,0.000948270436,0.010106079841,-0.00104581,0.0001311799999999,1.0937185561000005e-06,1.7208192399999956e-08,-0.000406605,-0.000151341,2.2904098281e-08,1.65327626025e-07,-0.0014979,0.0,2.2437044100000003e-06,0.0,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.00658201,0.00019671,4.33228556401e-05,3.869482410000004e-08,0.00552697,-0.01440573,3.05473973809e-05,0.0002075250568329,0.113524,0.012995,0.000168870025,0.012887698576,-0.00102949,1.6320000000000006e-05,1.0598496601000002e-06,2.6634240000000023e-10,-0.000406605,0.0,0.0,1.65327626025e-07,-0.00135752,0.00014038,1.8428605504000003e-06,1.9706544400000016e-08,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.00449957,-0.00208244,2.02461301849e-05,4.336556353600001e-06,-0.0177657999999999,-0.02329277,0.0003156236496399,0.0005425531342728,0.0917866,-0.0217374,0.00047251455876,0.00842477993956,-0.000802583,0.000226907,6.441394718890001e-07,5.148678664900003e-08,-0.000406605,0.0,0.0,1.65327626025e-07,-0.000998131,0.000359389,9.96265493161e-07,1.2916045332100008e-07,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.00571939,0.00121982,3.27114219721e-05,1.487960832400002e-06,-0.0176878,7.799999999999821e-05,0.0003128582688399,6.083999999999721e-09,0.043749,-0.0480376,0.00230761101376,0.001913975001,-0.000427439,0.000375144,1.82704098721e-07,1.407330207360001e-07,-0.000406604,9.999999999615351e-10,9.999999999230705e-19,1.6532681281600008e-07,-0.000961539,3.659200000000001e-05,9.24557248521e-07,1.3389744640000002e-09,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.000355803,-0.006075193,1.2659577480899998e-07,3.690796998724901e-05,0.00825794,0.02594574,6.81935730436e-05,0.0006731814241476,0.0597777,0.0160286999999999,0.0002569192236899,0.0035733734172899,-8.98133e-06,0.00041845767,8.066428856890001e-11,1.7510682158182888e-07,-0.000406605,-9.999999999615351e-10,9.999999999230705e-19,1.65327626025e-07,-0.00107224,-0.0001107009999999,1.1496986175999995e-06,1.2254711400999989e-08,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.00573608,-0.0053802769999999,3.29026137664e-05,2.8947380596729e-05,0.0311748,0.02291686,0.00097186815504,0.0005251824722595,0.0599019,0.0001242,1.5425640000001207e-08,0.00358823762361,0.000623426,0.00063240733,3.886599774759999e-07,3.999390310377289e-07,-6.67445e-05,0.0003398605,1.1550515946025e-07,4.4548282802500015e-09,-0.00119196,-0.00011972,1.4207686416e-06,1.4332878400000006e-08,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.00391741,0.00181867,1.5346101108099993e-05,3.3075605689000017e-06,-0.000219516,-0.031394316,4.818727425599999e-08,0.0009856030771078,0.0451964,-0.0147055,0.00021625173025,0.00204271457296,0.000280383,-0.000343043,7.8614626689e-08,1.1767849984899997e-07,-0.000406604,-0.0003398595,1.1550447974025004e-07,1.6532681281600008e-07,-0.000916131,0.0002758289999999,8.392960091610002e-07,7.608163724099993e-08,1
