,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q40,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.0171843,0.0,0.00029530016649,0.0,-0.0607336,0.0,0.0,0.00368857016896,0.000368744,0.0,1.35972137536e-07,0.0,-0.000342046,0.0,1.16995466116e-07,0.0,0.000197378,0.0,3.8958074884e-08,0.0,-0.00022691,0.0,5.148814810000001e-08,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.0159107,-0.0012735999999999,0.00025315037449,1.6220569599999994e-06,-0.0553518,0.0053817999999999,2.896377123999999e-05,0.00306382176324,0.00371545,0.0033467059999999,1.38045687025e-05,1.1200441050436e-05,-0.000509838,-0.000167792,2.59934786244e-07,2.8154155264e-08,0.000117588,-7.978999999999993e-05,1.3826937744000012e-08,6.366444099999988e-09,-0.000122676,0.0001042339999999,1.5049400976e-08,1.0864726756e-08,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.0117642,-0.0041464999999999,0.0001383964016399,1.7193462249999992e-05,-0.03979,0.0155617999999999,0.00024216961924,0.0015832441,-8.376539999999997e-05,-0.0037992153999999,7.0166422371599965e-09,1.443403765559716e-05,9.33225e-05,0.0006031605,8.709089006250002e-09,3.6380258876025e-07,6.08483e-05,-5.673970000000006e-05,3.7025156128899997e-09,3.2193935560900067e-09,-0.000165212,-4.2536e-05,2.7295004944e-08,1.809311296e-09,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0081189799999999,-0.00364522,6.591783624039996e-05,1.328762884840002e-05,-0.058357,-0.018567,0.000344733489,0.003405539449,-0.0142199999999999,-0.0141362346,0.0002022083999999,0.0001998331286662,0.0,-9.33225e-05,0.0,8.709089006250002e-09,7.570029999999999e-05,1.4851999999999994e-05,5.730535420089999e-09,2.2058190399999976e-10,-0.000148333,1.6879000000000002e-05,2.2002678889e-08,2.84900641e-10,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.00870209,0.00058311,7.572637036810001e-05,3.400172721000035e-07,-0.0666982,-0.0083411999999999,6.957561743999988e-05,0.00444864988324,-0.00929348,0.0049265199999999,8.63687705104e-05,2.4270599310399985e-05,-0.0002674,-0.0002674,7.150275999999999e-08,7.150275999999999e-08,0.00011139,3.568970000000001e-05,1.24077321e-08,1.2737546860900007e-09,-4.556390000000001e-05,0.0001027691,2.0760689832100004e-09,1.056148791481e-08,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.00630471,-0.00239738,3.97493681841e-05,5.747430864400006e-06,-0.0370546,0.0296436,0.00087874302096,0.00137304338116,0.00905524,0.01834872,8.199737145760001e-05,0.0003366755256384,5.77513e-05,0.0003251513,3.3352126516900013e-09,1.0572336789169e-07,8.914279999999998e-25,-0.00011139,7.946438791839995e-49,1.24077321e-08,-0.000131552,-8.59881e-05,1.7305928704000002e-08,7.39395334161e-09,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.00700427,0.00069956,4.90597982329e-05,4.893841936000002e-07,-0.0309028,0.0061517999999999,3.784464323999999e-05,0.00095498304784,0.0188092,0.00975396,0.00035378600464,9.513973568160004e-05,0.000615074,0.0005573227,3.783160254760001e-07,3.106085919352901e-07,0.000125102,0.000125102,1.5650510404000012e-08,1.5650510404000012e-08,-0.000234665,-0.0001031129999999,5.5067662225e-08,1.0632290769e-08,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.000236258,-0.0072405279999999,5.581784256399999e-08,5.242524571878399e-05,-0.0444592,-0.0135563999999999,0.0001837759809599,0.00197662046464,0.00584095,-0.01296825,3.41166969025e-05,0.0001681755080625,0.000393997,-0.000221077,1.55233636009e-07,4.887503992900004e-08,8.799009999999997e-05,-3.711190000000007e-05,7.742257698009994e-09,1.377293121610005e-09,-0.000107104,0.000127561,1.1471266816e-08,1.6271808720999993e-08,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,9.2104e-05,0.0003283619999999,8.483146816e-09,1.07821603044e-07,-0.0487352,-0.004276,1.828417600000001e-05,0.00237511971904,-0.00052253,-0.00636348,2.730376009e-07,4.049387771040001e-05,-0.000489768,-0.000883765,2.39872693824e-07,7.81040575225e-07,8.926719999999999e-24,-8.799009999999997e-05,7.968632995839995e-47,7.742257698009994e-09,0.000326475,0.000433579,1.06585925625e-07,1.87990749241e-07,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.000206736,-0.00029884,4.273977369599999e-08,8.930534559999998e-08,-0.0266263,0.0221089,0.00048880345921,0.0007089598516899,0.0441068,0.04462933,0.0019454098062399,0.0019917770962489,-0.000161821,0.000327947,2.6186036041000003e-08,1.07549234809e-07,-0.000232392,-0.000232392,5.400604166400002e-08,5.400604166400002e-08,0.000144282,-0.0001821929999999,2.0817295524e-08,3.3194289249e-08,1
